,coef,std,ci.low,ci.high,ilag,name,smooth,df.date,df.tmmx,df.rmax
1,-0.001902324,0.000757155,-0.003403449,-0.000436388,0,lag.datapm25,ns,5,2,2
2,0.005893346,0.000964372,0.003986737,0.007766551,1,lag.datapm25.l1,ns,5,2,2
3,-0.001751819,0.001006697,-0.003739696,0.000206535,2,lag.datapm25.l2,ns,5,2,2
4,0.000569675,0.001025399,-0.001451935,0.002566939,3,lag.datapm25.l3,ns,5,2,2
5,-0.001037876,0.000992815,-0.002998593,0.000892502,4,lag.datapm25.l4,ns,5,2,2
6,0.001172616,0.000987843,-0.000784055,0.003087902,5,lag.datapm25.l5,ns,5,2,2
7,0.000270843,0.00101523,-0.001736818,0.002242857,6,lag.datapm25.l6,ns,5,2,2
8,0.003049556,0.001016914,0.001040733,0.005027323,7,lag.datapm25.l7,ns,5,2,2
9,-0.002786141,0.001064608,-0.00489769,-0.00072546,8,lag.datapm25.l8,ns,5,2,2
10,0.001857337,0.001054456,-0.000233021,0.00390099,9,lag.datapm25.l9,ns,5,2,2
11,7.23E-05,0.001079636,-0.002069547,0.002162639,10,lag.datapm25.l10,ns,5,2,2
12,0.003432383,0.00102726,0.001396115,0.005426311,11,lag.datapm25.l11,ns,5,2,2
13,-0.00079144,0.001209731,-0.003215324,0.001526812,12,lag.datapm25.l12,ns,5,2,2
14,-0.00049062,0.001260935,-0.003024205,0.001926189,13,lag.datapm25.l13,ns,5,2,2
15,0.002165521,0.001158723,-0.000124994,0.004416741,14,lag.datapm25.l14,ns,5,2,2
16,0.00972335,0.000934705,0.007891329,0.011555372,NA,NA,NA,NA,NA,NA